"","geoname","year","DO","county","INCPC","popdens"
"2","LRG",2011,9.55466666666667,"Northampton, PA","a","a"
"3","LRG",2012,9.0247572815534,"Northampton, PA","a","a"
"4","LRG",2013,9.40091324200913,"Northampton, PA","a","a"
"5","LRG",2014,9.8364,"Northampton, PA","a","a"
"6","LRG",2015,9.67914893617021,"Northampton, PA","a","a"
"7","LRG",2016,9.33688524590164,"Northampton, PA","a","a"
"42","DRB",2011,8.5042471042471,"Philadelphia, PA","a","a"
"43","DRB",2012,7.03092369477912,"Philadelphia, PA","a","a"
"44","DRB",2013,7.2259842519685,"Philadelphia, PA","a","a"
"45","DRB",2014,7.64642857142857,"Philadelphia, PA","a","a"
"46","DRB",2015,7.26475409836066,"Philadelphia, PA","a","a"
"47","DRB",2016,6.616,"Philadelphia, PA","a","a"
"59","SRVD",2011,9.15,"Montgomery, PA","a","a"
"60","SRVD",2012,9.34375,"Montgomery, PA","a","a"
"61","SRVD",2013,9.12696078431373,"Montgomery, PA","a","a"
"62","SRVD",2014,9.536,"Montgomery, PA","a","a"
"63","SRVD",2015,9.01818181818182,"Montgomery, PA","a","a"
"64","SRVD",2016,9.18316326530612,"Montgomery, PA","a","a"
"82","DRC",2011,7.6343220338983,"Delaware, PA","a","a"
"83","DRC",2012,6.73459915611814,"Delaware, PA","a","a"
"84","DRC",2013,7.47416666666667,"Delaware, PA","a","a"
"85","DRC",2014,7.84981949458484,"Delaware, PA","a","a"
"86","DRC",2015,8.62865853658537,"Delaware, PA","a","a"
"87","DRC",2016,7.50434782608696,"Delaware, PA","a","a"
"99","WBBC",2011,10.14,"Chester, PA","a","a"
"100","WBBC",2012,9.80332103321033,"Chester, PA","a","a"
"101","WBBC",2013,10.4402826855124,"Chester, PA","a","a"
"102","WBBC",2014,10.895873015873,"Chester, PA","a","a"
"103","WBBC",2015,11.1728613569322,"Chester, PA","a","a"
"104","WBBC",2016,10.0305369127517,"Chester, PA","a","a"
"116","EBBC",2011,9.75505226480836,"Chester, PA","a","a"
"117","EBBC",2012,9.58790035587189,"Chester, PA","a","a"
"118","EBBC",2013,9.9841155234657,"Chester, PA","a","a"
"119","EBBC",2014,10.2716911764706,"Chester, PA","a","a"
"120","EBBC",2015,9.88357142857143,"Chester, PA","a","a"
"121","EBBC",2016,9.68467153284672,"Chester, PA","a","a"
"133","BCC",2011,9.89607142857143,"Delaware, PA","a","a"
"134","BCC",2012,9.85847750865052,"Delaware, PA","a","a"
"135","BCC",2013,10.026523297491,"Delaware, PA","a","a"
"136","BCC",2014,10.1007092198582,"Delaware, PA","a","a"
"137","BCC",2015,9.69749103942652,"Delaware, PA","a","a"
"138","BCC",2016,9.94178082191781,"Delaware, PA","a","a"
"140","KCCF",2011,10.1625,"Clinton, PA","a","a"
"141","KCCF",2012,9.95537190082645,"Clinton, PA","a","a"
"142","KCCF",2013,10.1264573991031,"Clinton, PA","a","a"
"143","KCCF",2014,10.3884,"Clinton, PA","a","a"
"144","KCCF",2015,10.5642023346303,"Clinton, PA","a","a"
"145","KCCF",2016,9.58518518518519,"Clinton, PA","a","a"
"147","PCPCW",2011,9.97834394904459,"Lycoming, PA","a","a"
"148","PCPCW",2012,9.44917355371901,"Lycoming, PA","a","a"
"149","PCPCW",2013,9.29462809917355,"Lycoming, PA","a","a"
"150","PCPCW",2014,9.63131868131868,"Lycoming, PA","a","a"
"151","PCPCW",2015,10.079766536965,"Lycoming, PA","a","a"
"152","PCPCW",2016,9.07464788732394,"Lycoming, PA","a","a"
"162","ARPA",2011,8.67826086956522,"McKean, PA","a","a"
"163","ARPA",2012,8.82707182320442,"McKean, PA","a","a"
"164","ARPA",2013,9.38947368421053,"McKean, PA","a","a"
"165","ARPA",2014,9.33923444976076,"McKean, PA","a","a"
"166","ARPA",2015,9.13794871794872,"McKean, PA","a","a"
"167","ARPA",2016,8.87285714285714,"McKean, PA","a","a"
"169","ARF",2011,9.64947368421053,"Venango, PA","a","a"
"170","ARF",2012,8.88055555555555,"Venango, PA","a","a"
"171","ARF",2013,9.53521126760563,"Venango, PA","a","a"
"172","ARF",2014,9.60098039215686,"Venango, PA","a","a"
"173","ARF",2015,9.19782608695652,"Venango, PA","a","a"
"174","ARF",2016,9.34929577464789,"Venango, PA","a","a"
"176","MCP",2011,8.78444444444444,"Jefferson, PA","a","a"
"177","MCP",2012,9.14561403508772,"Jefferson, PA","a","a"
"178","MCP",2013,9.74407582938389,"Jefferson, PA","a","a"
"179","MCP",2014,9.79756097560976,"Jefferson, PA","a","a"
"180","MCP",2015,9.65705521472393,"Jefferson, PA","a","a"
"181","MCP",2016,9.28149779735683,"Jefferson, PA","a","a"
"186","MCMC",2011,9.31533742331288,"Armstrong, PA","a","a"
"187","MCMC",2012,8.98827586206897,"Armstrong, PA","a","a"
"188","MCMC",2013,9.05974842767296,"Armstrong, PA","a","a"
"189","MCMC",2014,8.68858695652174,"Armstrong, PA","a","a"
"190","MCMC",2015,9.94075471698113,"Armstrong, PA","a","a"
"191","MCMC",2016,10.2698591549296,"Armstrong, PA","a","a"
"194","ARLD",2011,8.75131578947368,"Armstrong, PA","a","a"
"195","ARLD",2012,8.43219178082192,"Armstrong, PA","a","a"
"196","ARLD",2013,8.81318681318681,"Armstrong, PA","a","a"
"197","ARLD",2014,9.01813186813187,"Armstrong, PA","a","a"
"198","ARLD",2015,9.12362637362637,"Armstrong, PA","a","a"
"199","ARLD",2016,8.53901098901099,"Armstrong, PA","a","a"
"202","ARBLD",2011,8.71428571428571,"Armstrong, PA","a","a"
"203","ARBLD",2012,8.60335570469799,"Armstrong, PA","a","a"
"204","ARBLD",2013,8.63021978021978,"Armstrong, PA","a","a"
"205","ARBLD",2014,9.11173184357542,"Armstrong, PA","a","a"
"206","ARBLD",2015,8.78938547486034,"Armstrong, PA","a","a"
"207","ARBLD",2016,8.68837209302326,"Armstrong, PA","a","a"
"210","ARLF",2011,8.33669064748201,"Armstrong, PA","a","a"
"211","ARLF",2012,8.39520547945205,"Armstrong, PA","a","a"
"212","ARLF",2013,8.67032967032967,"Armstrong, PA","a","a"
"213","ARLF",2014,9.14147727272727,"Armstrong, PA","a","a"
"214","ARLF",2015,8.66703910614525,"Armstrong, PA","a","a"
"215","ARLF",2016,8.26184971098266,"Armstrong, PA","a","a"
"218","ARBD",2011,8.66866666666667,"Armstrong, PA","a","a"
"219","ARBD",2012,8.54934210526316,"Armstrong, PA","a","a"
"220","ARBD",2013,8.76648351648352,"Armstrong, PA","a","a"
"221","ARBD",2014,9.14213483146067,"Armstrong, PA","a","a"
"222","ARBD",2015,8.88587570621469,"Armstrong, PA","a","a"
"223","ARBD",2016,8.25438596491228,"Armstrong, PA","a","a"
"232","ARCWBY",2011,8.28742857142857,"Westmoreland, PA","a","a"
"233","ARCWBY",2012,8.16603773584906,"Westmoreland, PA","a","a"
"234","ARCWBY",2013,8.38,"Westmoreland, PA","a","a"
"235","ARCWBY",2014,9.30467289719626,"Westmoreland, PA","a","a"
"236","ARCWBY",2015,8.46612021857923,"Westmoreland, PA","a","a"
"237","ARCWBY",2016,7.64891304347826,"Westmoreland, PA","a","a"
"239","SFTCJ",2011,9.03481481481482,"Greene, PA","a","a"
"240","SFTCJ",2012,9.11157894736842,"Greene, PA","a","a"
"241","SFTCJ",2013,8.8010582010582,"Greene, PA","a","a"
"242","SFTCJ",2014,8.89103773584906,"Greene, PA","a","a"
"243","SFTCJ",2015,8.87877358490566,"Greene, PA","a","a"
"244","SFTCJ",2016,8.25058139534884,"Greene, PA","a","a"
"252","MRE",2011,8.01704545454546,"Allegheny, PA","a","a"
"253","MRE",2012,7.86174863387978,"Allegheny, PA","a","a"
"254","MRE",2013,8.23035714285714,"Allegheny, PA","a","a"
"255","MRE",2014,8.64257425742574,"Allegheny, PA","a","a"
"256","MRE",2015,8.28415300546448,"Allegheny, PA","a","a"
"257","MRE",2016,8.52442396313364,"Allegheny, PA","a","a"
"259","YRDOT",2011,7.5879781420765,"Somerset, PA","a","a"
"260","YRDOT",2012,7.73114754098361,"Somerset, PA","a","a"
"261","YRDOT",2013,7.57527472527473,"Somerset, PA","a","a"
"262","YRDOT",2014,7.82994011976048,"Somerset, PA","a","a"
"263","YRDOT",2015,7.45111111111111,"Somerset, PA","a","a"
"264","YRDOT",2016,7.51785714285714,"Somerset, PA","a","a"
"273","YRBC",2011,8.8,"Fayette, PA","a","a"
"274","YRBC",2012,8.58787878787879,"Fayette, PA","a","a"
"275","YRBC",2013,8.81910828025478,"Fayette, PA","a","a"
"276","YRBC",2014,8.68924050632911,"Fayette, PA","a","a"
"277","YRBC",2015,8.57514124293785,"Fayette, PA","a","a"
"278","YRBC",2016,8.79021739130435,"Fayette, PA","a","a"
"286","YRAS",2011,8.91257142857143,"Allegheny, PA","a","a"
"287","YRAS",2012,8.46125,"Allegheny, PA","a","a"
"288","YRAS",2013,8.82222222222222,"Allegheny, PA","a","a"
"289","YRAS",2014,9.25251396648045,"Allegheny, PA","a","a"
"290","YRAS",2015,8.74860335195531,"Allegheny, PA","a","a"
"291","YRAS",2016,9.51492537313433,"Allegheny, PA","a","a"
"293","BRW",2011,8.32211055276382,"Lawrence, PA","a","a"
"294","BRW",2012,7.49367088607595,"Lawrence, PA","a","a"
"295","BRW",2013,8.47107843137255,"Lawrence, PA","a","a"
"296","BRW",2014,8.48520408163265,"Lawrence, PA","a","a"
"297","BRW",2015,8.06941747572816,"Lawrence, PA","a","a"
"298","BRW",2016,7.80291262135922,"Lawrence, PA","a","a"
"300","CCZ",2011,9.2286432160804,"Beaver, PA","a","a"
"301","CCZ",2012,8.48622754491018,"Beaver, PA","a","a"
"302","CCZ",2013,8.99829545454545,"Beaver, PA","a","a"
"303","CCZ",2014,9.40098039215686,"Beaver, PA","a","a"
"304","CCZ",2015,8.90434782608696,"Beaver, PA","a","a"
"305","CCZ",2016,8.5878640776699,"Beaver, PA","a","a"
"313","ORMDL",2011,8.91656441717791,"Beaver, PA","a","a"
"314","ORMDL",2012,8.84306220095694,"Beaver, PA","a","a"
"315","ORMDL",2013,8.89617486338798,"Beaver, PA","a","a"
"316","ORMDL",2014,9.27282608695652,"Beaver, PA","a","a"
"317","ORMDL",2015,8.65168539325843,"Beaver, PA","a","a"
"318","ORMDL",2016,8.93521126760563,"Beaver, PA","a","a"
"321","WCUPE",2011,9.05125,"Erie, PA","a","a"
"322","WCUPE",2012,10.1556561085973,"Erie, PA","a","a"
"323","WCUPE",2013,10.2867346938776,"Erie, PA","a","a"
"324","WCUPE",2014,9.76073298429319,"Erie, PA","a","a"
"325","WCUPE",2015,9.43939393939394,"Erie, PA","a","a"
"326","WCUPE",2016,9.35978260869565,"Erie, PA","a","a"
